"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/12/2008","4.319,40","4.216,60","4.326,30","4.216,60","","2,44%"
"24/12/2008","4.216,60","4.256,00","4.256,00","4.205,20","","-0,93%"
"23/12/2008","4.256,00","4.249,20","4.307,10","4.244,20","","0,16%"
"22/12/2008","4.249,20","4.286,90","4.305,40","4.219,80","","-0,88%"
"19/12/2008","4.286,90","4.330,70","4.330,70","4.200,70","","-1,01%"
"18/12/2008","4.330,70","4.324,20","4.352,70","4.282,60","","0,15%"
"17/12/2008","4.324,20","4.309,10","4.341,10","4.231,10","","0,35%"
"16/12/2008","4.309,10","4.277,60","4.330,10","4.246,10","","0,74%"
"15/12/2008","4.277,60","4.280,40","4.340,70","4.238,90","","-0,07%"
"12/12/2008","4.280,40","4.388,70","4.388,70","4.201,90","","-2,47%"
"11/12/2008","4.388,70","4.367,30","4.430,30","4.307,80","","0,49%"
"10/12/2008","4.367,30","4.381,30","4.407,10","4.330,00","","-0,32%"
"09/12/2008","4.381,30","4.300,10","4.413,00","4.232,60","","1,89%"
"08/12/2008","4.300,10","4.049,40","4.318,00","4.049,40","","6,19%"
"05/12/2008","4.049,40","4.163,60","4.163,60","4.002,20","","-2,74%"
"04/12/2008","4.163,60","4.170,00","4.261,10","4.090,00","","-0,15%"
"03/12/2008","4.170,00","4.122,90","4.190,90","4.042,30","","1,14%"
"02/12/2008","4.122,90","4.065,50","4.137,10","3.973,30","","1,41%"
"01/12/2008","4.065,50","4.288,00","4.288,00","4.038,40","","-5,19%"
"28/11/2008","4.288,00","4.226,10","4.288,00","4.192,50","","1,46%"
"27/11/2008","4.226,10","4.152,70","4.241,70","4.152,70","","1,77%"
"26/11/2008","4.152,70","4.171,30","4.198,70","4.050,70","","-0,45%"
"25/11/2008","4.171,30","4.153,00","4.268,30","4.069,30","","0,44%"
"24/11/2008","4.153,00","3.781,00","4.153,10","3.781,00","","9,84%"
"21/11/2008","3.781,00","3.875,00","3.946,70","3.734,10","","-2,43%"
"20/11/2008","3.875,00","4.005,70","4.005,70","3.812,20","","-3,26%"
"19/11/2008","4.005,70","4.208,50","4.213,20","3.999,10","","-4,82%"
"18/11/2008","4.208,50","4.132,20","4.208,50","4.033,40","","1,85%"
"17/11/2008","4.132,20","4.233,00","4.236,40","4.110,70","","-2,38%"
"14/11/2008","4.233,00","4.169,20","4.342,30","4.169,20","","1,53%"
"13/11/2008","4.169,20","4.182,00","4.198,70","4.079,60","","-0,31%"
"12/11/2008","4.182,00","4.246,70","4.333,40","4.134,50","","-1,52%"
"11/11/2008","4.246,70","4.403,90","4.403,90","4.231,50","","-3,57%"
"10/11/2008","4.403,90","4.365,00","4.524,90","4.365,00","","0,89%"
"07/11/2008","4.365,00","4.272,40","4.408,10","4.263,80","","2,17%"
"06/11/2008","4.272,40","4.530,70","4.530,70","4.260,30","","-5,70%"
"05/11/2008","4.530,70","4.639,50","4.639,50","4.495,70","","-2,35%"
"04/11/2008","4.639,50","4.443,30","4.639,50","4.404,20","","4,42%"
"03/11/2008","4.443,30","4.377,30","4.443,30","4.348,30","","1,51%"
"31/10/2008","4.377,30","4.291,60","4.383,90","4.195,10","","2,00%"
"30/10/2008","4.291,60","4.242,50","4.352,50","4.200,20","","1,16%"
"29/10/2008","4.242,50","3.926,40","4.242,50","3.926,40","","8,05%"
"28/10/2008","3.926,40","3.852,60","4.034,00","3.847,60","","1,92%"
"27/10/2008","3.852,60","3.883,40","3.911,60","3.665,20","","-0,79%"
"24/10/2008","3.883,40","4.087,80","4.087,80","3.715,20","","-5,00%"
"23/10/2008","4.087,80","4.040,90","4.108,40","3.927,60","","1,16%"
"22/10/2008","4.040,90","4.229,70","4.229,70","4.031,80","","-4,46%"
"21/10/2008","4.229,70","4.282,70","4.347,70","4.212,40","","-1,24%"
"20/10/2008","4.282,70","4.063,00","4.282,70","4.063,00","","5,41%"
"17/10/2008","4.063,00","3.861,40","4.077,60","3.861,30","","5,22%"
"16/10/2008","3.861,40","4.079,60","4.079,60","3.808,10","","-5,35%"
"15/10/2008","4.079,60","4.394,20","4.394,20","4.052,00","","-7,16%"
"14/10/2008","4.394,20","4.256,90","4.534,40","4.256,90","","3,23%"
"13/10/2008","4.256,90","3.932,10","4.256,90","3.932,10","","8,26%"
"10/10/2008","3.932,10","4.313,80","4.313,80","3.874,00","","-8,85%"
"09/10/2008","4.313,80","4.366,70","4.512,50","4.274,40","","-1,21%"
"08/10/2008","4.366,70","4.605,20","4.654,20","4.245,30","","-5,18%"
"07/10/2008","4.605,20","4.589,20","4.745,00","4.517,50","","0,35%"
"06/10/2008","4.589,20","4.980,30","4.980,30","4.549,70","","-7,85%"
"03/10/2008","4.980,30","4.870,30","5.003,90","4.832,10","","2,26%"
"02/10/2008","4.870,30","4.959,60","5.052,00","4.862,10","","-1,80%"
"01/10/2008","4.959,60","4.902,50","5.012,20","4.891,50","","1,16%"
"30/09/2008","4.902,50","4.818,80","4.953,40","4.671,00","","1,74%"
"29/09/2008","4.818,80","5.088,50","5.088,50","4.818,80","","-5,30%"
"26/09/2008","5.088,50","5.197,00","5.197,00","5.057,30","","-2,09%"
